PFTDPW,POMCPOW,times
-60.47460127806115,-159.70471678705428,0.01
39.62790289328719,-83.63830865861867,0.01
37.15911374863879,-205.60692256346007,0.01
-37.068917470081374,-203.4293857077482,0.01
-200.9026779248571,1.687059291652223,0.01
-29.51659134316539,-59.38397442039106,0.01
21.662300478635554,-154.6119440634802,0.01
24.730444835872227,-166.47510195121137,0.01
-76.47709269592264,-148.35730934756597,0.01
-20.152079021449175,-186.7458308504965,0.01
-97.25808101856107,-308.70395571434494,0.01
-43.55618305749929,-51.38915945800747,0.01
21.636197773260513,-114.41887446597968,0.01
29.688823559470475,-8.843890146871784,0.01
27.758226547229878,-293.75038764949875,0.01
-153.71338795478326,-229.46139806836138,0.01
30.339531082831826,-393.36756945899793,0.01
-22.073059904015913,-286.9519838640636,0.01
39.26201148331377,-98.70295738094902,0.01
-70.63146275969916,-441.64044823874883,0.01
40.46161877351842,-87.15877222500302,0.01
14.99642747423521,-512.1205505641415,0.01
-25.76162065950829,-346.2070936017943,0.01
-21.362157079361992,-100.38344774579602,0.01
-107.00762199391323,34.64206466345237,0.01
-38.32488684889262,-16.73758447015365,0.01
-11.501167418259309,-125.84651799449307,0.01
23.02970853888552,-171.7560439561786,0.01
42.089587876346194,-76.7702946767433,0.01
-71.71393943254353,-145.5281631808844,0.01
27.029119751103227,20.04719328676371,0.01
31.051409483374314,-237.39360735781798,0.01
-20.989347386916446,14.441752844050486,0.01
36.18939392206705,-148.8687423950121,0.01
-57.498906870354084,-27.92417826657074,0.01
-69.35154976027329,-267.5387219314586,0.01
35.893835665304906,-83.9065544258087,0.01
-47.64875494703007,-133.80996898916368,0.01
36.53809836770616,-10.675756586298428,0.01
-5.993238368124857,-176.45299464650543,0.01
-54.17340808469511,5.439511157551359,0.01
-58.30211877881521,-69.88704677588103,0.01
-245.4313325453684,-221.06711036181457,0.01
30.91239037181846,-212.49501673194075,0.01
-55.22842058177691,-303.84535806417347,0.01
-73.11317289213427,-47.02988281252804,0.01
-141.7843537633064,-214.6794507617442,0.01
-43.62257828327621,-391.3626311779279,0.01
-146.15152820018304,-38.213562548383265,0.01
35.71458740114889,-13.512172712590703,0.01
29.198228439672867,-238.93257204190692,0.01
-108.33713632789669,-117.49553996904295,0.01
-25.743701046264057,-136.93145507068954,0.01
34.5050690331118,-65.22597166326035,0.01
44.100802003353266,-329.4149873736178,0.01
-70.7959015935822,-308.9945038358135,0.01
36.417831637259326,-83.4625959778198,0.01
-68.86987757888463,-168.52201218670282,0.01
35.70461756110863,28.44657613721902,0.01
-50.05145435196011,-200.94176825728985,0.01
22.015927024499845,-289.3158562348122,0.01
22.86592728602387,-316.7575712099265,0.01
-47.96789548107665,-153.82136421901356,0.01
25.804903984171055,-80.43495536763807,0.01
33.60717792204285,-102.79527292388572,0.01
-29.274521675406927,-30.919422802672152,0.01
40.843740379593896,-231.55572576718353,0.01
-46.24277900414116,-384.7548684591071,0.01
-143.70193699034112,-64.70038395512921,0.01
34.34400734866324,-98.45196749835917,0.01
25.92072769594347,-159.90253990292845,0.01
-78.428323296718,-97.85746284438886,0.01
26.194773380497182,-119.66701055821798,0.01
28.265726740364375,-1.535429398139006,0.01
28.532135555993825,-239.73073002017455,0.01
-20.795088028905774,-561.6843062819594,0.01
12.15222120969832,-49.90076041074795,0.01
-59.803562722422214,-254.83871133734817,0.01
38.499546688307774,-101.97322134372698,0.01
-12.355895458202204,-230.6913355990941,0.01
35.57534222484493,-239.56015603792338,0.01
-104.4878445107477,-395.2111828571721,0.01
-56.15598983084553,-230.80112743313094,0.01
39.10439272052275,-99.73367740153768,0.01
-75.57275408711618,-383.7676243680806,0.01
32.08619777326051,-93.71309309281834,0.01
18.457462660067513,-368.46457262779523,0.01
28.147808964889435,-147.00412092357627,0.01
31.64073229997478,-144.4271013189814,0.01
32.97792629101332,-310.5832175600046,0.01
25.68902855709508,-97.43205863111585,0.01
39.805417647818324,-321.0901426682416,0.01
-63.53775815586878,-378.5216843423505,0.01
-58.291607367965455,-17.43852398761057,0.01
-67.3018744909869,-271.5568763833897,0.01
40.589874742611165,-183.88630399047503,0.01
34.73413912360863,-206.5588357600491,0.01
34.15087665897152,-124.11270183470175,0.01
-29.475261583171342,-48.61841473697898,0.01
18.931261739059817,-174.4604880255843,0.01
-130.1871552421487,-24.196544121227085,0.01
-127.64600042062847,-176.58660832528392,0.01
-39.27972587617439,-131.80293555714655,0.01
-74.80650285835294,-207.49188630628893,0.01
32.74169061411421,-152.9643304933785,0.01
22.83652299748467,-376.59416068922366,0.01
26.55756350110323,-26.609146356149683,0.01
35.50829334565706,-113.65472550040919,0.01
22.247071801875702,-173.41297117435653,0.01
22.901327071474967,-56.35181413797365,0.01
28.0982250407117,-163.48128989486608,0.01
-112.25471906055056,-226.9955348440701,0.01
-108.70286094287995,-71.04506679269747,0.01
-119.3023906824827,-296.3098238279969,0.01
27.365056750115397,-53.639439854095954,0.01
30.94953977108773,-105.14110454064875,0.01
27.780837636318907,-305.64961862434274,0.01
21.05318277001898,-56.985694026834906,0.01
29.852362367037255,-106.69186406936494,0.01
40.3957619420939,-33.95227201786347,0.01
-25.541623188444454,-131.13993061881635,0.01
29.12698297757336,-109.31815778463759,0.01
21.611626484656092,-111.64689320177128,0.01
