PFTDPW,POMCPOW,times
6.561000000000002,-9.0,0.01
-9.0,-8.100000000000001,0.01
-8.100000000000001,-9.0,0.01
5.904900000000001,-8.100000000000001,0.01
-8.100000000000001,-7.290000000000001,0.01
5.904900000000001,9.0,0.01
-8.100000000000001,6.561000000000002,0.01
5.314410000000001,5.314410000000001,0.01
-8.100000000000001,5.314410000000001,0.01
5.904900000000001,8.100000000000001,0.01
7.290000000000001,9.0,0.01
-6.561000000000002,-9.0,0.01
8.100000000000001,5.314410000000001,0.01
8.100000000000001,7.290000000000001,0.01
6.561000000000002,-7.290000000000001,0.01
2.058911320946491,-7.290000000000001,0.01
8.100000000000001,-9.0,0.01
-9.0,-9.0,0.01
-6.561000000000002,5.314410000000001,0.01
-9.0,5.904900000000001,0.01
7.290000000000001,-8.100000000000001,0.01
4.782969000000001,5.904900000000001,0.01
-8.100000000000001,9.0,0.01
-9.0,-8.100000000000001,0.01
-8.100000000000001,-8.100000000000001,0.01
7.290000000000001,-8.100000000000001,0.01
6.561000000000002,-7.290000000000001,0.01
6.561000000000002,-6.561000000000002,0.01
8.100000000000001,9.0,0.01
6.561000000000002,-7.290000000000001,0.01
-8.100000000000001,-9.0,0.01
5.904900000000001,-9.0,0.01
9.0,7.290000000000001,0.01
6.561000000000002,-9.0,0.01
-8.100000000000001,7.290000000000001,0.01
-8.100000000000001,8.100000000000001,0.01
5.314410000000001,5.904900000000001,0.01
7.290000000000001,-7.290000000000001,0.01
-7.290000000000001,-6.561000000000002,0.01
5.904900000000001,5.904900000000001,0.01
5.904900000000001,-8.100000000000001,0.01
7.290000000000001,-7.290000000000001,0.01
6.561000000000002,8.100000000000001,0.01
-5.904900000000001,7.290000000000001,0.01
5.314410000000001,5.904900000000001,0.01
5.314410000000001,-8.100000000000001,0.01
4.782969000000001,-9.0,0.01
5.314410000000001,-8.100000000000001,0.01
-8.100000000000001,-8.100000000000001,0.01
-8.100000000000001,6.561000000000002,0.01
-6.561000000000002,9.0,0.01
6.561000000000002,-6.561000000000002,0.01
-9.0,5.314410000000001,0.01
8.100000000000001,9.0,0.01
4.782969000000001,8.100000000000001,0.01
4.782969000000001,-5.904900000000001,0.01
-5.314410000000001,7.290000000000001,0.01
4.782969000000001,-7.290000000000001,0.01
5.904900000000001,-7.290000000000001,0.01
-6.561000000000002,-6.561000000000002,0.01
4.304672100000001,6.561000000000002,0.01
4.782969000000001,4.782969000000001,0.01
-8.100000000000001,-5.904900000000001,0.01
-9.0,8.100000000000001,0.01
-7.290000000000001,-8.100000000000001,0.01
-5.314410000000001,-6.561000000000002,0.01
7.290000000000001,-7.290000000000001,0.01
7.290000000000001,-7.290000000000001,0.01
7.290000000000001,6.561000000000002,0.01
5.314410000000001,-9.0,0.01
-9.0,5.314410000000001,0.01
5.904900000000001,5.314410000000001,0.01
5.314410000000001,8.100000000000001,0.01
7.290000000000001,5.314410000000001,0.01
-7.290000000000001,8.100000000000001,0.01
6.561000000000002,-6.561000000000002,0.01
1.8530201888518418,8.100000000000001,0.01
-5.904900000000001,-9.0,0.01
-8.100000000000001,5.904900000000001,0.01
9.0,-9.0,0.01
-8.100000000000001,-5.904900000000001,0.01
5.314410000000001,-8.100000000000001,0.01
4.782969000000001,6.561000000000002,0.01
-8.100000000000001,-8.100000000000001,0.01
7.290000000000001,-9.0,0.01
-9.0,-8.100000000000001,0.01
5.904900000000001,7.290000000000001,0.01
-9.0,6.561000000000002,0.01
4.782969000000001,-6.561000000000002,0.01
-7.290000000000001,5.314410000000001,0.01
5.314410000000001,5.904900000000001,0.01
9.0,-7.290000000000001,0.01
5.314410000000001,-8.100000000000001,0.01
7.290000000000001,-5.904900000000001,0.01
-8.100000000000001,3.4867844010000013,0.01
-7.290000000000001,-9.0,0.01
9.0,-8.100000000000001,0.01
6.561000000000002,-9.0,0.01
-7.290000000000001,-6.561000000000002,0.01
7.290000000000001,-9.0,0.01
5.904900000000001,7.290000000000001,0.05
-7.290000000000001,-6.561000000000002,0.05
9.0,8.100000000000001,0.05
9.0,8.100000000000001,0.05
6.561000000000002,5.904900000000001,0.05
0.6461081889226679,-8.100000000000001,0.05
7.290000000000001,-9.0,0.05
-6.561000000000002,8.100000000000001,0.05
-8.100000000000001,5.904900000000001,0.05
6.561000000000002,-7.290000000000001,0.05
6.561000000000002,7.290000000000001,0.05
-7.290000000000001,8.100000000000001,0.05
8.100000000000001,-9.0,0.05
5.904900000000001,8.100000000000001,0.05
-7.290000000000001,5.904900000000001,0.05
-8.100000000000001,2.287679245496101,0.05
7.290000000000001,-9.0,0.05
-8.100000000000001,7.290000000000001,0.05
6.561000000000002,8.100000000000001,0.05
