PFTDPW,POMCPOW,times
-24.427133451860918,-24.280016508956233,0.01
-19.427376676484997,-21.600743330212474,0.01
-13.122212268328251,-26.043064872861574,0.01
-14.529455660473246,-21.252018841921295,0.01
-30.938035249647836,-19.07923449353783,0.01
-3.6635672118599887,-2.9812006628550014,0.01
-15.418350000000004,-23.510036982351146,0.01
-4.691873074637747,-15.434827317388331,0.01
-15.9897840088365,-36.68335354546449,0.01
-17.015953500000002,-28.82793978988088,0.01
-19.977975343993506,-27.018767548907572,0.01
-13.550676645075075,-14.38177171778848,0.01
-16.444713150000005,-28.160855982653324,0.01
-14.533395511485002,-18.154042411814252,0.01
-8.982553907984327,-11.43022330389,0.01
-19.976785019309744,-11.86177536956367,0.01
-11.749387524928238,-11.012021448227484,0.01
-11.533753395584238,-9.821418778277765,0.01
-22.666506684599998,-24.203283458683327,0.01
-5.619157776830923,-10.398710831969488,0.01
-15.215588565230913,-16.930280695500002,0.01
-4.798156843643982,-18.131589862502832,0.01
-20.403757213170074,-8.114085715910917,0.01
-34.41896886824416,-36.03785327662426,0.01
-13.38777758178,-17.245356016140004,0.01
-8.914169035775924,-26.15173762897926,0.01
-14.893834500000004,-20.458422443590425,0.01
-16.308251397525815,-28.085272589899176,0.01
-16.486104953115007,-34.011759353497425,0.01
-11.149655832405005,-20.715029992215005,0.01
-21.234234023905405,-22.923759935156294,0.01
-15.116558105473246,-23.813416799049257,0.01
-16.700994991350004,-14.280001569875926,0.01
-13.086259557929228,-18.980883654002994,0.01
-28.7302396742865,-12.381415244233049,0.01
-18.243084627405004,-30.151942905514506,0.01
-10.01320882393455,-34.047838401325095,0.01
-3.924057480732376,-25.968693699081385,0.01
-4.050000000000001,-16.74837803073238,0.01
-4.36918320773138,-16.099598156525815,0.01
-9.404327428149141,-11.562502378199738,0.01
-6.7334365178594915,-24.641029403231382,0.01
-19.207788758914493,-16.97852135806597,0.01
-23.06638568648333,-20.12216462442726,0.01
-23.891693855801748,-35.75153934323139,0.01
-23.116526297255927,-28.19956875805549,0.01
-15.259825029983334,-20.500690621485,0.01
-20.01879661332299,-18.716519257731377,0.01
-17.685667980450003,-23.632324500090427,0.01
-4.771715481584548,-19.522391384154627,0.01
-25.950542958724498,-21.796854695794742,0.01
-4.089438495000001,-13.82841206543333,0.01
-8.155539882905002,-27.483619212067875,0.01
0.0,-13.55250357463775,0.01
-15.494444107303506,-20.625379652540925,0.01
-17.41480115273138,-31.77251160547325,0.01
-5.619052980450002,-29.391065115682768,0.01
-3.482497399578972,-23.051512896142576,0.01
-34.576011605473255,-14.379993382905004,0.01
-26.172180364454995,-34.828576088723246,0.01
-16.27953028327776,-48.459457828161725,0.01
-11.530088565230912,-30.87369595222943,0.01
-6.310622199421646,-22.09453297529306,0.01
-2.1523360500000006,-16.935896445956576,0.01
-6.583760272476832,-33.47245535889,0.01
