PFTDPW,POMCPOW,times
-35.04648011326943,-12.680004717173974,0.01
-20.35390916047325,-21.432091488416333,0.01
-25.231500000000004,-20.144918188245754,0.01
-35.618557274248055,-16.333164433474245,0.01
-16.09060887294908,-16.587962899757542,0.01
-30.098603824519262,-31.668845324337727,0.01
-11.507404577198331,-3.955925858836497,0.01
-3.971601531584547,-18.7111371060473,0.01
-19.692396724637753,-11.66558084651949,0.01
-8.738132117834999,-23.33535064660573,0.01
-6.840762995473248,-28.07983846877374,0.01
-4.521502980450002,-10.363643931384166,0.01
-9.469599844578974,-15.971980227094623,0.01
-5.501317867408242,-30.639575911140007,0.01
-12.174453500000002,-34.572137294891284,0.01
-20.882132115083245,-16.082919961869738,0.01
-8.796070376984998,-13.57302077968305,0.01
-21.337958774259732,-26.360210578757993,0.01
-15.590716981419739,-7.517991019637748,0.01
-15.656155425450002,-17.8744641378645,0.01
-12.872227075845661,-44.68472411943066,0.01
-8.857350000000002,-15.8248975660995,0.01
-4.5,-17.2200808588365,0.01
-5.462147682405002,-40.525222199388985,0.01
-38.58154655230351,-19.36013908445348,0.01
-15.799262552966752,-18.75581308280417,0.01
-14.552893214248055,-19.345751322476833,0.01
-21.744178987299993,-18.75111421528649,0.01
-13.99814844381983,-12.382862087458244,0.01
-17.015953500000002,-11.437231823248052,0.01
-8.60931213265304,-15.336737015987751,0.01
-4.412890590649497,-12.38578962471248,0.01
-19.69659125777324,-14.777719510433332,0.01
-6.314375997443489,-14.364958614904422,0.01
-6.2952003045927345,-10.233345065304823,0.01
-11.08817843735499,-11.969952803451,0.01
-7.416953926419738,-32.73227155546449,0.01
-19.683309226484994,-33.03122404975974,0.01
-7.185059831459476,-16.814301913924247,0.01
-8.111891880480803,-27.30830621680283,0.01
-14.254218640673994,-17.365620370386377,0.01
-15.441794660874727,-30.659857353649745,0.01
-21.939282254949987,-22.764525672748054,0.01
-11.655724206335915,-30.96650034434639,0.01
-11.203481499147832,-18.492944771524495,0.01
-8.39381960182325,-28.86780025233065,0.01
-30.201809843115008,-9.982699645500002,0.01
-5.912147682405001,-31.348822383416756,0.01
-7.887016812098915,-24.984645934607766,0.01
-12.34307725494999,-14.986415072833235,0.01
-10.626519403400833,-30.24535321236974,0.01
-11.31154976777675,-54.03884964890758,0.01
-30.18862173314093,-25.61327492640658,0.01
-9.104381491500003,-14.452306314629245,0.01
-9.393934500000002,-15.7111731255713,0.01
-11.006464399921649,-32.8928382427999,0.01
-16.532381601500003,-22.216378561117423,0.01
-26.768588339614503,-22.12245527343433,0.01
-8.216554321948491,-18.16543130211276,0.01
-13.306212538045413,-16.688911113430652,0.01
-16.2080065676658,-10.135990764915812,0.01
-16.14707876358615,-14.247605484361573,0.01
-6.036484500000001,-11.566432626224826,0.01
-11.885174679983333,-16.925204738545414,0.01
-25.101325029983332,-26.264645641847306,0.01
-5.000571848694152,-14.275755846448048,0.01
-6.668818462034548,-9.893020086975817,0.01
-23.7136110906495,-42.63954936267398,0.01
-11.53646381047325,-30.454230070502998,0.01
-1.4121476824050008,-17.374439392878248,0.01
-11.594652770933074,-13.344268593436498,0.01
-8.6470408588365,-1.2709329141645007,0.01
-5.865240359164503,-15.66424676650657,0.01
-8.961868906051498,-12.043120349946141,0.01
-8.312798742493502,-26.827927570696488,0.01
-16.219352682405002,-3.280500000000001,0.01
-9.907596957748053,-10.530440359081334,0.01
-25.905009444147833,-18.194322129597833,0.01
-5.7867436522030395,-19.872016371826245,0.01
-45.22583562372449,-13.74033207120683,0.01
-22.767517713124256,-18.366804888619495,0.01
-13.548469724248054,-5.0,0.01
-19.113939283905005,-20.530765888129256,0.01
-15.679380876241499,-11.34220313567497,0.01
-4.050000000000001,-29.94570173483517,0.01
-20.534951197215005,-16.91869703195948,0.01
-9.365228653198052,-18.074644121962418,0.01
-1.7433922005000007,-10.2534736914438,0.01
-18.53995445165535,-10.268068186741498,0.01
-15.278932576640926,-23.631926468276752,0.01
-32.176812547084246,-14.52801921212138,0.01
-5.048689500000002,-18.33446445932084,0.01
-4.488224601329999,-28.480395116263242,0.01
-24.305953500000005,-11.621935894578975,0.01
-28.732085669826834,-26.86638659623916,0.01
-9.427954903955987,-21.16588053349148,0.01
-27.739299812732753,-17.414696384608042,0.01
-14.476402980450004,-18.054221772354992,0.01
-8.876470394614502,-13.607836679050415,0.01
-6.684857649081382,-18.249483752673978,0.01
-2.162620858889997,-21.217950724248052,0.05
-37.956310028634746,-27.920894019610884,0.05
-9.652732680399989,-15.2120080412415,0.05
-17.54199924522915,-24.16548453691805,0.05
-15.52627757650949,-13.013582488378248,0.05
-16.785998564098055,-27.63336810753455,0.05
-2.779530283277763,-23.890204750153053,0.05
-14.395489268330927,-7.4982737198097436,0.05
-16.986957828569995,-9.33243059876242,0.05
-12.281311077493505,-31.19740964446898,0.05
-14.965211714098055,-9.03705858711426,0.05
-22.378318998371242,-30.04405510462108,0.05
-27.314868965423237,-31.458455469108973,0.05
-20.683981333277767,-19.112696236956577,0.05
-1.1438396227480505,-25.248520376985,0.05
-17.417180233993506,-17.537193749164505,0.05
-8.857350000000002,-23.2081029792885,0.05
-23.217741118277768,-12.18032412274805,0.05
-13.686617124161236,-21.315467594488894,0.05
-35.08169829099908,-21.163041048458965,0.05
-19.236584216403067,-16.762199238671283,0.05
-17.97623830389,-16.6416450600765,0.05
-6.390050027976832,-23.053328440986,0.05
-4.809971312426919,-7.061429631890995,0.05
-16.538863500000005,-24.275863181059627,0.05
