PFTDPW,POMCPOW,times
-14.736127809594155,-15.187833521509493,0.01
-5.0571476824050015,-30.747616419983327,0.01
-5.388392200500001,-14.911333409115006,0.01
-4.226257980450002,-6.853035359164502,0.01
-14.771010065423237,-7.865455321034239,0.01
-27.14618962274805,-6.501109515664503,0.01
-26.470190316019263,-0.750473176484996,0.01
-38.183493879175344,-19.30066553370374,0.01
-10.987252242493504,-14.109511620809746,0.01
-3.7863090849833294,-9.409458150000003,0.01
-28.560287875788003,-7.0642049560514995,0.01
-11.288812584983331,-27.122575621484998,0.01
-32.40931087170481,-8.572922483777765,0.01
-11.964193190756236,-22.3782176938365,0.01
-15.52627757650949,-4.93014870773138,0.01
-20.42631044058127,-17.577324283905003,0.01
-14.64383962274805,-13.159494594425924,0.01
-19.888075775492766,-12.825453368244155,0.01
-7.731936441915147,-27.52349204472915,0.01
-17.98390446186974,-9.267602445000001,0.01
-18.464720708803508,-38.461879833813,0.01
-8.322679917093726,-21.284209181919735,0.01
-30.766056842878246,-12.688624951830002,0.01
-10.518466276350004,-19.318393783277767,0.01
-17.847741263064993,-5.5190924094856495,0.01
-14.64383962274805,-11.052557067748054,0.01
-24.811515000000007,-3.955925858836497,0.01
-11.179650359164505,-25.077011892493505,0.01
-10.262820481419737,-17.51279641372777,0.01
-10.749901187493503,-14.054739889574481,0.01
-16.031803500000002,0.0,0.01
-16.19071364092325,-14.464562698727768,0.01
-16.386443047215003,-1.2709329141645007,0.01
-15.664167091350006,-15.092489529425926,0.01
-14.302336050000001,-8.260325932905003,0.01
-19.47900721056593,-18.475570017405005,0.01
-4.882435953262418,-7.988034131278235,0.01
-1.7048815193097417,-17.15464867191584,0.01
-5.973384696573153,-6.457008150000003,0.01
-11.667752132198332,-11.919155832405005,0.01
-12.252080997443489,-10.070651161001484,0.01
-17.077566133679245,-14.096358773000997,0.01
-6.995563074875922,-19.382167980450003,0.01
-11.778602445000002,-18.9989713510515,0.01
-21.20136603297884,-18.109453500000004,0.01
-24.836683925203644,-8.744826374479484,0.01
-32.90812301962957,-20.828233193836503,0.01
-2.6875756214849966,-24.06866365448632,0.01
-14.392281453227485,-21.061903500000007,0.01
-22.542975343993504,-3.0788461444259214,0.01
-10.516925858836498,-2.1523360500000006,0.01
-7.978779264887995,-6.707668197442264,0.01
-1.5690529804500009,-11.79239209944614,0.01
-11.259819057748054,-5.64383962274805,0.01
-18.623361886787478,-21.524777102904732,0.01
-20.52675915220304,-11.223846144425922,0.01
-4.911868906051499,-26.93464637376974,0.01
-29.328763500000008,-9.400775408188249,0.01
-49.11494013045001,-27.60780832107915,0.01
-6.457008150000003,-18.105292840256237,0.01
-17.135381519309746,-7.279530283277763,0.01
-7.290867234983332,-3.645416877698037,0.01
-20.899812934628237,-6.470003742493503,0.01
-14.450411753451,-24.0219162237,0.01
