sol,t,r
SparsePFT,0.01,30.17444022630125
PFTDPW,0.1,55.6299291669531
SparsePFT,0.03162277660168379,32.815200238211844
PFTDPW,0.03162277660168379,38.52099749386355
PFTDPW,0.1,44.8432105195164
SparsePFT,1.0,-18.461100494465715
PFTDPW,0.17782794100389226,51.848432708605436
SparsePFT,0.03162277660168379,63.80047553124997
SparsePFT,1.0,48.25601107317516
SparsePFT,0.01,51.848432708605436
SparsePFT,1.0,77.74074999999999
PFTDPW,1.0,59.610451754687475
PFTDPW,1.0,63.80047553124997
SparsePFT,0.03162277660168379,30.17444022630125
PFTDPW,1.0,63.80047553124997
PFTDPW,0.01,-0.06999392148712147
PFTDPW,0.31622776601683794,48.25601107317516
PFTDPW,0.5623413251903491,55.6299291669531
SparsePFT,0.5623413251903491,30.17444022630125
SparsePFT,0.01,48.25601107317516
SparsePFT,0.17782794100389226,30.17444022630125
SparsePFT,0.01778279410038923,48.25601107317516
PFTDPW,0.5623413251903491,77.74074999999999
PFTDPW,0.01778279410038923,59.610451754687475
SparsePFT,0.03162277660168379,51.848432708605436
PFTDPW,0.056234132519034905,55.6299291669531
SparsePFT,0.17782794100389226,59.610451754687475
SparsePFT,0.03162277660168379,44.8432105195164
SparsePFT,1.0,59.610451754687475
SparsePFT,0.5623413251903491,77.74074999999999
PFTDPW,0.01778279410038923,82.88499999999998
SparsePFT,0.5623413251903491,-3.7668854865132726
SparsePFT,0.17782794100389226,48.25601107317516
PFTDPW,0.01778279410038923,35.59494761917036
PFTDPW,0.31622776601683794,63.80047553124997
PFTDPW,0.1,38.52099749386355
PFTDPW,0.01778279410038923,63.80047553124997
PFTDPW,0.17782794100389226,59.610451754687475
PFTDPW,0.056234132519034905,63.80047553124997
PFTDPW,0.5623413251903491,38.52099749386355
PFTDPW,0.31622776601683794,59.610451754687475
SparsePFT,0.056234132519034905,41.60104999354058
PFTDPW,0.17782794100389226,72.85371249999999
PFTDPW,0.31622776601683794,41.60104999354058
SparsePFT,0.17782794100389226,63.80047553124997
SparsePFT,0.01778279410038923,38.52099749386355
SparsePFT,0.31622776601683794,59.610451754687475
PFTDPW,0.31622776601683794,68.21102687499999
SparsePFT,0.03162277660168379,59.610451754687475
PFTDPW,1.0,77.74074999999999
SparsePFT,0.31622776601683794,44.8432105195164
SparsePFT,0.5623413251903491,77.74074999999999
SparsePFT,0.17782794100389226,44.8432105195164
